,Product ID,Sales,Discount,Profit,order Count,Category Encode,Percentage Profit,Mean Profit Categorical,Least Sale Price,Sub-Category,Profit Predict
0,OFF-LA-10002782,4.36,0.0,1.5199999999999998,5,10,2.8684210526315796,1.2406590753424658,1.6553632157534248,Labels,1.4941398043994027
5,FUR-FU-10004015,31.52,0.0,11.34,9,9,2.7795414462081127,4.498363758732702,-39.37421283762738,Furnishings,3.220642360751995
14,FUR-BO-10002352,96.64,0.0,27.04,7,4,3.57396449704142,18.807917595793494,-812.1585782287416,Bookcases,15.814918495755819
21,OFF-BI-10004428,8.86,0.0,1.24,7,3,7.14516129032258,5.364743756435006,-14.905814841007075,Binders,1.8752893736464955
28,OFF-AR-10004594,35.8,0.0,5.72,4,2,6.258741258741258,2.749114742092974,-13.409153883464228,Art,3.067672635034789
32,OFF-EN-10001375,28.06,0.0,10.66,8,7,2.6322701688555346,2.8998306506849314,-12.624624029109583,Envelopes,2.719217541177038
40,TEC-MA-10004956,114.88,0.0,55.13999999999999,4,11,2.083424011606819,8.847668167999117,-393.33005956986926,Machines,11.799049304286882
44,OFF-SU-10003474,24.34,0.0,4.86,6,15,5.008230452674897,2.294925182481752,-3.589239470802923,Supplies,2.443822805264567
50,TEC-AC-10001830,170.76,0.0,6.82,5,0,25.038123167155423,10.542759146137087,-729.3807758971844,Accessories,18.652725375375702
55,OFF-BI-10002075,4.0200000000000005,0.0,1.16,6,3,3.465517241379311,5.364743756435006,-6.763134950434363,Binders,1.5590235059017772
61,OFF-FA-10002526,6.920000000000001,0.0,3.1799999999999997,6,8,2.176100628930818,1.26022,2.559638800000001,Fasteners,1.593216976315226
67,FUR-CH-10002846,52.66,0.0,12.62,8,5,4.1727416798732175,11.697042052787832,-255.32311724990365,Chairs,6.889128121945319
75,OFF-EN-10004100,26.7,0.0,12.54,5,7,2.1291866028708135,2.8998306506849314,-12.012739186643827,Envelopes,2.6436025348198555
80,OFF-AR-10003914,33.16,0.0,8.94,6,2,3.7091722595078296,2.749114742092974,-12.420322423901503,Art,2.938735396900782
86,OFF-FA-10000038,12.94,0.0,1.02,9,8,12.686274509803921,1.26022,4.7863766000000005,Fasteners,1.833788564849094
95,OFF-EN-10000761,9.42,0.4,-3.3,7,7,-2.8545454545454545,2.8998306506849314,-4.238202364726025,Envelopes,1.7806213724164124
102,FUR-FU-10003066,44.04,0.4,-21.3,3,9,-2.067605633802817,4.498363758732702,-55.0139699672941,Furnishings,3.991056642331415
105,OFF-EN-10000075,20.088,0.4,-3.032,8,7,-6.62532981530343,2.8998306506849314,-9.03789905547945,Envelopes,2.31506641024378
113,OFF-EN-10002226,2.9280000000000004,0.4,-1.612,5,7,-1.816377171215881,2.8998306506849314,-1.3173520726027395,Envelopes,1.457022767258671
118,FUR-CH-10002132,68.368,0.2,23.928,13,5,2.8572383818121025,11.697042052787832,-331.4836855324993,Chairs,8.613347636748948
131,TEC-AC-10002749,27.0,0.0,5.94,4,0,4.545454545454545,10.542759146137087,-115.32724847285067,Accessories,3.9222660111491265
135,OFF-SU-10000066,23.0,0.0,7.359999999999999,6,15,3.1250000000000004,2.294925182481752,-3.3916395985401486,Supplies,2.3814750642134115
