,Product ID,Sales,Discount,Profit,order Count,Category Encode,Percentage Profit,Mean Profit Categorical,Least Sale Price,Sub-Category,Profit Predict
0,OFF-LA-10002782,4.36,0.0,1.5199999999999998,5,10,2.8684210526315796,1.2406590753424658,1.6553632157534248,Labels,1.6364055644412687
5,FUR-FU-10004015,31.52,0.0,11.34,9,9,2.7795414462081127,4.498363758732702,-39.37421283762738,Furnishings,3.2209272389526404
14,FUR-BO-10002352,96.64,0.0,27.04,7,4,3.57396449704142,18.807917595793494,-812.1585782287416,Bookcases,15.97165822465223
21,OFF-BI-10004428,8.86,0.0,1.24,7,3,7.14516129032258,5.364743756435006,-14.905814841007075,Binders,1.861553967569833
28,OFF-AR-10004594,35.8,0.0,5.72,4,2,6.258741258741258,2.749114742092974,-13.409153883464228,Art,3.4491340910592854
32,OFF-EN-10001375,28.06,0.0,10.66,8,7,2.6322701688555346,2.8998306506849314,-12.624624029109583,Envelopes,3.000585517165817
40,TEC-MA-10004956,114.88,0.0,55.13999999999999,4,11,2.083424011606819,8.847668167999117,-393.33005956986926,Machines,11.474225639581917
44,OFF-SU-10003474,24.34,0.0,4.86,6,15,5.008230452674897,2.294925182481752,-3.589239470802923,Supplies,2.7903644606225555
50,TEC-AC-10001830,170.76,0.0,6.82,5,0,25.038123167155423,10.542759146137087,-729.3807758971844,Accessories,19.42352621882567
55,OFF-BI-10002075,4.0200000000000005,0.0,1.16,6,3,3.465517241379311,5.364743756435006,-6.763134950434363,Binders,1.5861300999456063
61,OFF-FA-10002526,6.920000000000001,0.0,3.1799999999999997,6,8,2.176100628930818,1.26022,2.559638800000001,Fasteners,1.7839222111493598
67,FUR-CH-10002846,52.66,0.0,12.62,8,5,4.1727416798732175,11.697042052787832,-255.32311724990365,Chairs,5.788174526177393
75,OFF-EN-10004100,26.7,0.0,12.54,5,7,2.1291866028708135,2.8998306506849314,-12.012739186643827,Envelopes,2.912372997561974
80,OFF-AR-10003914,33.16,0.0,8.94,6,2,3.7091722595078296,2.749114742092974,-12.420322423901503,Art,3.2962104977688753
86,OFF-FA-10000038,12.94,0.0,1.02,9,8,12.686274509803921,1.26022,4.7863766000000005,Fasteners,2.1398276759029287
95,OFF-EN-10000761,9.42,0.4,-3.3,7,7,-2.8545454545454545,2.8998306506849314,-4.238202364726025,Envelopes,1.9133310754626223
102,FUR-FU-10003066,44.04,0.4,-21.3,3,9,-2.067605633802817,4.498363758732702,-55.0139699672941,Furnishings,3.9924635391729026
105,OFF-EN-10000075,20.088,0.4,-3.032,8,7,-6.62532981530343,2.8998306506849314,-9.03789905547945,Envelopes,2.53152156547133
113,OFF-EN-10002226,2.9280000000000004,0.4,-1.612,5,7,-1.816377171215881,2.8998306506849314,-1.3173520726027395,Envelopes,1.5401637224241256
118,FUR-CH-10002132,68.368,0.2,23.928,13,5,2.8572383818121025,11.697042052787832,-331.4836855324993,Chairs,7.6457124386710404
131,TEC-AC-10002749,27.0,0.0,5.94,4,0,4.545454545454545,10.542759146137087,-115.32724847285067,Accessories,3.1316727408557625
135,OFF-SU-10000066,23.0,0.0,7.359999999999999,6,15,3.1250000000000004,2.294925182481752,-3.3916395985401486,Supplies,2.7118567410906635
141,OFF-BI-10003934,20.22,0.4,-6.739999999999999,7,3,-3.0,5.364743756435006,-34.01755937755791,Binders,2.5284789075252903
148,FUR-FU-10001142,20.124000000000002,0.4,-8.395999999999999,8,9,-2.3968556455454983,4.498363758732702,-25.13853614036846,Furnishings,2.528116580084564
156,TEC-CO-10003541,163.093,0.002,32.35315,6,6,5.04102382611894,25.13978430112498,-1886.9684205116882,Copiers,32.471226450494015
162,OFF-ST-10004296,16.0,0.0,6.88,15,14,2.3255813953488373,6.524557246851228,-36.196457974809825,Storage,2.3110219428666596
177,OFF-BI-10003709,20.184,0.4,-10.436000000000002,8,3,-1.9340743579915674,5.364743756435006,-33.956993989942085,Binders,2.5289924255519267
185,OFF-FA-10003529,5.46,0.4,-0.82,4,8,-6.658536585365854,1.26022,2.0195994,Fasteners,1.694444535191849
189,TEC-PH-10002483,28.704,0.4,-12.456,5,13,-2.304431599229287,17.979630824317184,-229.3396615906002,Phones,4.006951212927966
194,OFF-AR-10002055,9.636,0.4,1.436,8,2,6.710306406685237,2.749114742092974,-3.609234827403947,Art,1.9266948840593443
202,OFF-AP-10000023,30.456,0.4,-19.804,2,1,-1.5378711371440115,24.811801592370525,-347.37811464861835,Appliances,5.348935161326985
204,TEC-CO-10004904,117.72225,0.402,-75.21775,2,6,-1.565086033549262,25.13978430112498,-1362.0337362215553,Copiers,23.65605314657293
206,OFF-AR-10000404,10.416,0.4,-0.704,5,2,-14.795454545454547,2.749114742092974,-3.9013895768202076,Art,1.9635193673013305
211,OFF-SU-10004480,21.48,0.0,9.22,5,15,2.3297180043383947,2.294925182481752,-3.167496459854018,Supplies,2.620490776673101
216,OFF-SU-10003162,19.740000000000002,0.0,7.68,5,15,2.5703125000000004,2.294925182481752,-2.9109115510948946,Supplies,2.5190404854623907
221,OFF-SU-10002521,22.7,0.0,7.94,3,15,2.8589420654911835,2.294925182481752,-3.3474008211678843,Supplies,2.6869968265866007
225,FUR-BO-10002679,83.4,0.0,26.68,8,4,3.1259370314842583,18.807917595793494,-700.8901637445887,Bookcases,13.660474643269744
233,OFF-FA-10004587,10.68,0.0,0.1,2,8,106.8,1.26022,3.9504252000000006,Fasteners,1.9913224732895642
235,OFF-SU-10001132,20.8,0.2,2.86,8,15,7.272727272727273,2.294925182481752,-3.067221897810221,Supplies,2.5882785891683966
243,TEC-PH-10001288,86.52,0.0,38.92,6,13,2.223021582733813,17.979630824317184,-691.2788294599613,Phones,13.711914301600189
249,TEC-MA-10003625,207.0,0.0,22.76,2,11,9.094903339191564,8.847668167999117,-708.7336553879087,Machines,21.51476077811413
251,OFF-AP-10002681,361.18,0.0,25.28,5,1,14.287183544303797,24.811801592370525,-4119.5832495661925,Appliances,71.9369009179459
256,TEC-AC-10004939,18.78,0.0,1.3,4,0,14.446153846153846,10.542759146137087,-80.21650838222725,Accessories,2.5014670470354616
260,FUR-CH-10002088,56.32,0.0,13.5,7,5,4.1718518518518515,11.697042052787832,-273.0687042065053,Chairs,6.2000970689539585
267,OFF-ST-10003184,25.088,0.2,-0.012,7,14,-2090.6666666666665,6.524557246851228,-56.75604610450182,Storage,2.8549966649630036
274,TEC-CO-10001756,76.704,0.202,18.06375,9,6,4.246294374091758,25.13978430112498,-887.4570075167452,Copiers,15.872833166242415
283,FUR-FU-10003608,13.38,0.0,3.74,15,9,3.5775401069518717,4.498363758732702,-16.714053545921775,Furnishings,2.1544424568828475
298,OFF-FA-10002353,8.98,0.0,1.7,3,8,5.282352941176471,1.26022,3.3216122000000006,Fasteners,1.8953589037715375
301,OFF-SU-10003665,16.72,0.0,7.18,13,15,2.328690807799443,2.294925182481752,-2.4655745255474457,Supplies,2.3659183081381983
314,TEC-CO-10003142,76.891,0.402,-28.549166666666665,9,6,-2.6932835167401272,25.13978430112498,-889.6205773489004,Copiers,15.912094862522487
323,OFF-AP-10004958,227.832,0.4,-26.587999999999997,3,1,-8.56897848653528,24.811801592370525,-2598.6291901964805,Appliances,44.921432719038215
326,OFF-EN-10000755,13.86,0.4,2.06,6,7,6.7281553398058245,2.8998306506849314,-6.235826409246574,Envelopes,2.165314695564149
332,FUR-BO-10000734,50.136,0.4,-3.344,7,4,-14.992822966507179,18.807917595793494,-421.3408782913514,Bookcases,7.577826937217786
339,TEC-PH-10000018,424.9,0.0,97.72,9,13,4.348137535816619,17.979630824317184,-3394.872568626186,Phones,59.58539472562078
348,OFF-AR-10001402,7.572,0.4,-3.9280000000000004,6,2,-1.9276985743380854,2.749114742092974,-2.8361484135640005,Art,1.8037392648080797
354,TEC-PH-10003416,43.48,0.0,16.08,6,13,2.7039800995024876,17.979630824317184,-347.3971741206555,Phones,6.205988596849203
360,OFF-AP-10001723,63.54,0.0,20.96,4,1,3.0314885496183206,24.811801592370525,-724.7309365896116,Appliances,12.813687999457144
364,FUR-BO-10000624,291.74,0.0,46.66,7,4,6.252464637805401,18.807917595793494,-2451.7709396983973,Bookcases,43.81993187767986
371,FUR-BO-10003499,145.896,0.4,-82.684,8,4,-1.764500991727541,18.807917595793494,-1226.1039727779435,Bookcases,23.29957699864006
379,OFF-BI-10003952,34.3,0.0,13.36,7,3,2.5673652694610776,5.364743756435006,-57.705355422860364,Binders,3.4073361303098366
386,OFF-BI-10002080,9.74,0.0,3.5,10,3,2.782857142857143,5.364743756435006,-16.386302093838477,Binders,1.9201857197816352
