index,Ship Mode,Predicted
31825,Second Class,Standard Class
25845,First Class,
7563,Standard Class,Standard Class
12960,First Class,Standard Class
17557,Standard Class,Standard Class
1928,First Class,Standard Class
13874,First Class,Standard Class
39541,Standard Class,Standard Class
15879,Standard Class,Standard Class
1276,Second Class,Standard Class
47122,Second Class,
43050,Standard Class,Standard Class
47088,Standard Class,Standard Class
39984,Standard Class,Standard Class
46882,First Class,
24150,Second Class,Standard Class
8754,Standard Class,Standard Class
40807,Standard Class,Standard Class
21319,Standard Class,Standard Class
24224,Second Class,Standard Class
30942,Same Day,Standard Class
46432,Standard Class,Standard Class
43837,Standard Class,Standard Class
24660,First Class,Standard Class
10514,First Class,
11959,First Class,Standard Class
6451,Second Class,
18882,Standard Class,Standard Class
6324,First Class,Standard Class
23207,Standard Class,Standard Class
12367,Same Day,Standard Class
8663,Standard Class,Standard Class
33935,Standard Class,Standard Class
6355,Second Class,
30849,Same Day,Standard Class
37406,Standard Class,Standard Class
44669,Standard Class,Standard Class
6,Standard Class,Standard Class
26321,Second Class,Standard Class
37148,Standard Class,Standard Class
9880,First Class,Standard Class
47525,Standard Class,Standard Class
13999,Second Class,Standard Class
18574,Standard Class,Standard Class
38861,Standard Class,Standard Class
43544,Standard Class,Standard Class
23100,Standard Class,Standard Class
12973,First Class,Standard Class
45243,First Class,Standard Class
25923,First Class,Standard Class
13276,First Class,Standard Class
47028,Standard Class,Standard Class
37609,Standard Class,Standard Class
32652,Standard Class,Standard Class
27578,Second Class,Standard Class
46143,Second Class,Standard Class
1013,Standard Class,Standard Class
47127,First Class,Standard Class
47534,Second Class,Standard Class
30549,First Class,Standard Class
4321,First Class,Standard Class
36374,Standard Class,Standard Class
4941,Standard Class,Standard Class
11774,Second Class,Standard Class
4181,Standard Class,Standard Class
22726,Standard Class,Standard Class
22212,Standard Class,Standard Class
26552,Second Class,Standard Class
23978,Second Class,Standard Class
46254,First Class,Standard Class
13304,First Class,Standard Class
9576,First Class,Standard Class
1387,First Class,Standard Class
29693,Second Class,Standard Class
3380,First Class,
2792,Standard Class,Standard Class
26080,First Class,Standard Class
9216,First Class,
9343,First Class,
21493,Standard Class,Standard Class
45637,Standard Class,Standard Class
47402,First Class,Standard Class
26058,First Class,Standard Class
49336,Standard Class,Standard Class
49231,Standard Class,Standard Class
36075,Standard Class,Standard Class
20869,Standard Class,Standard Class
5500,Standard Class,Standard Class
