,Order Priority,Market,Sales,Quantity,Shipping Cost,Discount,City,State,Country,Region,product category,Ship Mode
0,3,3,78.408,6,3.87,0.7,41,0,137,5,2,Standard Class
1,3,3,82.674,2,5.69,0.7,41,0,137,5,1,Standard Class
2,1,3,4.248,1,0.1,0.7,2635,821,137,5,1,Same Day
3,1,3,224.748,6,60.08,0.7,2635,821,137,5,0,Same Day
4,1,3,6.966,1,1.75,0.7,2635,821,137,5,1,Second Class
5,1,3,16.668,2,1.41,0.7,2635,821,137,5,1,Second Class
6,0,3,42.48,1,8.04,0.7,41,0,137,5,1,First Class
7,3,3,77.256,8,4.08,0.7,2635,821,137,5,1,Standard Class
8,3,3,3.159,1,0.25,0.7,2635,821,137,5,1,Standard Class
9,3,3,59.373,1,5.83,0.7,2635,821,137,5,1,Standard Class
10,3,3,42.489,1,2.24,0.7,2635,821,137,5,1,Standard Class
11,3,3,95.796,4,6.73,0.7,2635,821,137,5,2,Standard Class
12,3,3,3.429,1,0.25,0.7,2635,821,137,5,1,Standard Class
13,3,3,6.426,2,0.49,0.7,41,0,137,5,1,Standard Class
14,3,1,308.64,1,31.41,0.0,774,255,2,0,1,Second Class
15,3,1,581.04,12,35.32,0.0,339,138,2,0,1,Standard Class
16,3,1,26.22,2,2.41,0.0,339,138,2,0,1,Standard Class
17,3,1,58.74,2,3.04,0.0,774,255,2,0,1,Standard Class
18,3,1,408.3,2,35.46,0.0,774,255,2,0,1,Standard Class
19,3,1,276.96,2,20.15,0.0,72,34,2,0,2,Standard Class
20,3,1,35.97,1,2.83,0.0,319,131,2,0,1,Standard Class
21,3,1,113.28,1,9.51,0.0,72,34,2,0,0,Standard Class
22,1,1,24.72,1,4.29,0.0,339,138,2,0,1,First Class
23,0,1,11.37,1,3.8,0.0,72,34,2,0,1,Same Day
24,3,1,10.92,1,1.05,0.0,72,34,2,0,1,Standard Class
25,2,1,1111.56,4,162.67,0.0,120,51,2,0,1,Standard Class
26,2,1,103.92,2,10.87,0.0,120,51,2,0,0,Standard Class
27,2,1,260.49,1,24.2,0.0,120,51,2,0,2,Standard Class
28,3,1,54.9,2,3.48,0.0,774,255,2,0,1,Standard Class
29,3,1,10.41,1,0.74,0.0,72,34,2,0,1,Second Class
30,3,1,91.38,2,4.36,0.0,72,34,2,0,1,Standard Class
31,0,1,874.68,2,78.7,0.0,1252,376,2,0,0,First Class
32,0,1,339.3,10,27.29,0.0,72,34,2,0,1,Same Day
33,0,1,613.26,2,241.33,0.0,72,34,2,0,2,Same Day
34,0,1,393.96,2,110.6,0.0,72,34,2,0,1,Same Day
35,0,1,53.52,4,22.06,0.0,72,34,2,0,1,Same Day
36,0,1,8.37,1,2.14,0.0,72,34,2,0,1,Same Day
37,3,1,55.44,4,3.98,0.0,2344,746,2,0,1,Standard Class
38,3,1,116.04,2,9.32,0.0,72,34,2,0,0,Same Day
39,3,1,198.09,1,12.63,0.0,774,255,2,0,0,Standard Class
40,1,1,298.68,2,47.5,0.0,72,34,2,0,0,First Class
41,3,1,1589.4,6,102.07,0.0,2746,847,2,0,2,First Class
42,3,1,433.92,8,15.37,0.0,2344,746,2,0,1,Standard Class
43,3,1,13.32,1,0.88,0.0,2344,746,2,0,1,Standard Class
44,3,1,63.0,4,3.98,0.0,2344,746,2,0,1,Standard Class
45,0,1,189.69,1,26.8,0.0,432,984,2,0,2,Second Class
46,0,1,8.52,1,0.74,0.0,432,984,2,0,1,Second Class
47,3,1,163.62,1,2.62,0.0,1733,545,2,0,2,Standard Class
48,3,1,199.08,4,15.17,0.0,1733,545,2,0,1,Standard Class
49,3,1,1447.44,4,199.04,0.0,72,34,2,0,0,First Class
50,3,1,63.87,1,4.6,0.0,72,34,2,0,0,Standard Class
51,3,1,16.89,1,0.77,0.0,2746,847,2,0,1,Standard Class
52,3,1,17.55,1,1.07,0.0,2746,847,2,0,0,Standard Class
53,3,1,118.8,4,8.11,0.0,2746,847,2,0,1,Standard Class
54,3,1,16.53,1,0.8,0.0,286,983,2,0,1,Standard Class
55,3,1,391.68,4,4.39,0.0,286,983,2,0,1,Standard Class
56,3,1,16.5,1,1.79,0.0,120,51,2,0,1,First Class
57,3,1,11.31,1,1.19,0.0,120,51,2,0,1,First Class
58,3,1,319.77,1,9.19,0.0,120,51,2,0,0,First Class
59,3,1,71.1,6,8.31,0.0,120,51,2,0,1,First Class
60,3,1,109.92,2,9.1,0.0,120,51,2,0,1,First Class
61,3,1,38.04,1,4.86,0.0,2344,746,2,0,1,Second Class
62,3,1,46.38,1,6.13,0.0,2344,746,2,0,1,Second Class
63,3,1,321.84,4,22.95,0.0,2344,746,2,0,2,Second Class
64,3,1,50.13,1,4.08,0.0,2344,746,2,0,1,Second Class
65,3,1,314.1,1,33.55,0.0,2344,746,2,0,2,Second Class
66,3,1,109.44,8,13.8,0.0,2344,746,2,0,1,Second Class
67,3,1,589.32,12,59.19,0.0,2344,746,2,0,1,Second Class
68,3,1,824.28,2,90.77,0.0,2344,746,2,0,0,Second Class
69,3,1,17.88,1,1.36,0.0,2344,746,2,0,1,Second Class
70,3,1,54.69,1,5.89,0.0,2344,746,2,0,1,Second Class
71,3,1,234.3,2,11.5,0.0,774,255,2,0,2,Standard Class
72,3,1,57.48,4,4.22,0.0,774,255,2,0,1,Standard Class
73,3,1,46.5,2,2.47,0.0,72,34,2,0,1,Standard Class
74,3,1,29.37,1,1.91,0.0,72,34,2,0,1,Standard Class
75,3,1,29.49,1,0.91,0.0,72,34,2,0,2,Standard Class
76,1,1,16.56,1,3.79,0.0,72,34,2,0,1,Same Day
77,1,1,33.36,2,2.81,0.0,72,34,2,0,1,Same Day
78,1,1,199.2,2,33.05,0.0,72,34,2,0,1,Same Day
79,1,1,13.59,1,1.29,0.0,72,34,2,0,1,Same Day
80,1,1,96.96,2,16.76,0.0,286,983,2,0,1,Standard Class
81,1,1,172.53,1,16.25,0.0,286,983,2,0,2,Standard Class
82,3,1,16.71,1,1.1,0.0,72,34,2,0,1,Standard Class
83,3,1,110.1,1,7.95,0.0,331,135,2,0,0,Standard Class
84,3,1,27.45,1,1.85,0.0,319,131,2,0,1,Standard Class
85,3,1,599.28,4,43.54,0.0,319,131,2,0,0,Standard Class
86,3,1,109.32,4,7.31,0.0,319,131,2,0,1,Standard Class
87,3,1,18.66,1,2.05,0.0,319,131,2,0,1,Standard Class
88,3,1,17.52,1,0.4,0.0,120,51,2,0,1,Standard Class
89,3,1,110.7,2,8.47,0.0,2344,746,2,0,2,Standard Class
90,0,1,58.44,2,17.18,0.0,3192,985,2,0,1,Second Class
91,0,1,26.28,2,8.57,0.0,3192,985,2,0,1,Second Class
92,1,1,146.76,1,17.73,0.0,37,288,2,0,0,First Class
93,3,1,43.05,1,1.28,0.0,72,34,2,0,1,Standard Class
94,3,1,25.23,1,1.66,0.0,774,255,2,0,1,Standard Class
95,1,1,44.7,1,8.3,0.0,120,51,2,0,1,Second Class
96,1,1,41.16,2,8.44,0.0,120,51,2,0,1,Second Class
97,1,1,61.71,1,10.8,0.0,120,51,2,0,1,Second Class
98,1,1,54.66,1,8.37,0.0,120,51,2,0,1,Second Class
99,1,1,459.24,4,71.81,0.0,120,51,2,0,2,Second Class
100,3,1,246.21,1,21.52,0.0,2344,746,2,0,2,First Class
101,3,1,32.1,2,2.75,0.0,2344,746,2,0,1,First Class
102,3,1,166.83,1,10.35,0.0,2169,666,2,0,2,Standard Class
103,1,1,48.6,1,10.94,0.0,2344,746,2,0,1,First Class
104,1,1,63.24,2,12.98,0.0,2344,746,2,0,1,First Class
105,3,1,63.84,4,11.02,0.0,120,51,2,0,1,First Class
106,3,1,19.2,4,1.08,0.0,120,51,2,0,1,First Class
107,3,1,29.49,1,1.67,0.0,120,51,2,0,2,First Class
108,3,1,60.96,2,7.42,0.0,120,51,2,0,1,First Class
109,1,1,46.32,1,3.94,0.0,120,51,2,0,1,Standard Class
110,1,1,18.06,2,1.2,0.0,120,51,2,0,1,Standard Class
111,1,1,12.36,1,2.96,0.0,37,288,2,0,1,Second Class
112,1,1,78.96,4,4.37,0.0,37,288,2,0,1,Second Class
