x,pdf
-80,0.0006287085779746829
-79,0.0006451354301209467
-78,0.0006622090812249183
-77,0.0006799636328544069
-76,0.0006984354424453379
-75,0.0007176633029223675
-74,0.0007376886390406712
-73,0.0007585557222294552
-72,0.0007803119059309147
-71,0.0008030078836697367
-70,0.0008266979723620479
-69,0.0008514404236835523
-68,0.0008772977666700745
-67,0.0009043371851261199
-66,0.0009326309338757915
-65,0.0009622567984140256
-64,0.0009932986031145953
-63,0.0010258467738362934
-62,0.0010599989615536437
-61,0.0010958607345391848
-60,0.0011335463476591914
-59,0.0011731795985351371
-58,0.0012148947816942879
-57,0.0012588377534138845
-56,0.0013051671217885565
-55,0.0013540555786599056
-54,0.0014056913924871124
-53,0.0014602800840622869
-52,0.0015180463102471846
-51,0.0015792359847020718
-50,0.0016441186689776476
-49,0.0017129902724442939
-48,0.001786176105450995
-47,0.0018640343369650254
-46,0.0019469599158842377
-45,0.002035389024391856
-44,0.0021298041423060037
-43,0.0022307398135355152
-42,0.0023387892196580005
-41,0.0024546116814315702
-40,0.002578941226832754
-39,0.002712596383977906
-38,0.0028564913788633912
-37,0.0030116489408035458
-36,0.003179214941863266
-35,0.003360475118888941
-34,0.003556874145283052
-33,0.003770037330163576
-32,0.00400179521826734
-31,0.004254211334500829
-30,0.004529613246583033
-29,0.0048306269839386955
-28,0.00516021461540713
-27,0.00552171440014077
-26,0.005918882309080403
-25,0.006355932759052189
-24,0.006837574952974313
-23,0.007369039063968785
-22,0.007956083352405446
-21,0.008604968799588948
-20,0.009322381555468447
-19,0.010115275012473012
-18,0.01099059239343046
-17,0.011954817680373148
-16,0.013013289042358963
-15,0.014169198558903086
-14,0.015422202979487279
-13,0.016766596545497944
-12,0.018189069615716633
-11,0.019666221243328147
-10,0.021162227450321973
-9,0.022627372839126608
-8,0.023998440249244822
-7,0.025202026417791453
-6,0.026161448880214083
-5,0.02680686596374369
-4,0.027086743344819444
-3,0.026977562683677108
-2,0.026488583834652746
-1,0.025659945637330348
0,0.024554800167083623
1,0.023248198801965058
2,0.021816058188965502
3,0.020326705355668162
4,0.018836012383422328
5,0.01738583719086201
6,0.01600480672379739
7,0.014710374037334195
8,0.013511303552009324
9,0.012410053455799642
10,0.011404795213448265
11,0.010490992987795303
12,0.009662567057098797
13,0.00891270910190878
14,0.008234427213461314
15,0.0076208918029182955
16,0.007065640701955965
17,0.006562688119035352
18,0.006106570159001485
19,0.005692350060898579
20,0.0053155990987366454
21,0.004972363853005725
22,0.004659126862509613
23,0.0043727651120188775
24,0.0041105090810013315
25,0.0038699039279498837
26,0.0036487736344105147
27,0.003445188454776325
28,0.003257435722652174
29,0.003083993890273345
30,0.00292350958192227
31,0.0027747773970919947
32,0.0026367221853087217
33,0.002508383519513782
34,0.0023889021105464466
35,0.0022775079263223754
36,0.0021735098024784714
37,0.002076286354551825
38,0.001985278024018021
39,0.0018999801111133556
40,0.0018199366660302599
41,0.0017447351267397143
42,0.00167400160641759
43,0.0016073967463613769
44,0.0015446120615406754
45,0.0014853667157015242
46,0.0014294046714114592
47,0.0013764921677501738
48,0.0013264154846673944
49,0.0012789789584778833
50,0.0012340032176611784
51,0.0011913236121840396
52,0.0011507888130568927
53,0.0011122595618497477
54,0.0010756075524957062
55,0.0010407144299591942
56,0.0010074708922913147
57,0.0009757758842789989
58,0.0009455358723544763
59,0.000916664191698446
60,0.0008890804575709544
61,0.0008627100338614521
62,0.0008374835526834237
63,0.0008133364795662769
64,0.0007902087194322935
65,0.0007680442591017813
66,0.0007467908425557982
67,0.0007263996756120997
68,0.0007068251570441867
69,0.0006880246335022473
70,0.0006699581758843311
71,0.000652588375061215
72,0.0006358801550835913
73,0.0006198006021991237
74,0.0006043188081829056
75,0.0005894057266407392
76,0.0005750340410828797
77,0.0005611780436886571
78,0.000547813523791486
79,0.0005349176652109121
80,0.0005224689516448766
81,0.0005104470794125889
82,0.0004988328769073457
83,0.00048760823018029024
84,0.0004767560141312849
85,0.00046626002883251653
86,0.0004561049405548143
87,0.0004462762271064814
88,0.0004367601271302524
89,0.0004275435930361923
90,0.0004186142472773812
91,0.0004099603417013771
92,0.0004015707197340688
93,0.00039343478117384915
94,0.00038554244939332925
95,0.00037788414076326047
96,0.0003704507361291431
97,0.00036323355418533247
98,0.0003562243266044591
99,0.0003494151747917923
100,0.00034279858814491776
101,0.00033636740370886415
102,0.00033011478712571525
103,0.000324034214785844
104,0.00031811945709530416
105,0.00031236456278065815
106,0.00030676384415868674
107,0.0003013118633040593
108,0.00029600341905319745
109,0.00029083353478728656
110,0.0002857974469417105
111,0.0002808905941931506
112,0.0002761086072792265
113,0.0002714472994088955
114,0.00026690265722489605
115,0.0002624708322823397
116,0.0002581481330101535
117,0.0002539310171244602
118,0.00024981608446518987
119,0.00024580007022923807
