Row ID,Order ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost
1,MX-2014-143658,OFF-LA-10002782,13.08,3,0,4.56,1.033
2,MX-2012-155047,FUR-FU-10004015,252.16,8,0,90.72,13.449
3,MX-2012-155047,FUR-BO-10002352,193.28,2,0,54.08,9.627
4,MX-2012-155047,OFF-BI-10004428,35.44,4,0,4.96,1.371
5,MX-2012-155047,OFF-AR-10004594,71.6,2,0,11.44,3.787
6,MX-2012-155047,OFF-EN-10001375,56.12,2,0,21.32,4.718
7,MX-2013-134096,OFF-EN-10001375,56.12,2,0,21.32,4.108
8,MX-2013-134096,TEC-MA-10004956,344.64,3,0,165.42,26.202
9,MX-2013-134096,OFF-SU-10003474,97.36,4,0,19.44,6.863
10,MX-2013-134096,TEC-AC-10001830,341.52,2,0,13.64,17.341
11,MX-2013-134096,OFF-BI-10002075,12.06,3,0,3.48,1.134
12,MX-2013-156335,OFF-FA-10002526,20.76,3,0,9.54,0.649
13,MX-2013-156335,FUR-CH-10002846,210.64,4,0,50.48,16.065
14,MX-2014-121923,OFF-EN-10004100,80.1,3,0,37.62,8.863
15,MX-2014-135706,OFF-AR-10003914,132.64,4,0,35.76,6.203
16,MX-2014-135706,OFF-FA-10000038,12.94,1,0,1.02,0.464
17,US-2013-126655,OFF-EN-10000761,18.84,2,0.4,-6.6,1.602
18,US-2013-126655,FUR-FU-10003066,308.28,7,0.4,-149.1,27.77
19,US-2013-126655,OFF-EN-10000075,40.176,2,0.4,-6.064,2.137
20,US-2013-126655,OFF-EN-10002226,8.784,3,0.4,-4.836,0.38
21,MX-2013-167759,FUR-CH-10002132,273.472,4,0.2,95.712,48.165
22,MX-2013-163139,TEC-AC-10002749,27,1,0,5.94,3.895
23,MX-2013-163139,OFF-SU-10000066,207,9,0,66.24,37.857
24,US-2014-119753,OFF-BI-10003934,60.66,3,0.4,-20.22,4
25,US-2012-133970,FUR-FU-10001142,181.116,9,0.4,-75.564,1.085
26,MX-2014-120607,TEC-CO-10003541,326.186,2,0.002,64.7063,16.777
27,MX-2014-120607,OFF-ST-10004296,80,5,0,34.4,5.084
28,US-2013-167129,OFF-BI-10003709,141.288,7,0.4,-73.052,9.465
29,US-2013-167129,OFF-FA-10003529,21.84,4,0.4,-3.28,1.091
30,US-2013-167129,TEC-PH-10002483,114.816,4,0.4,-49.824,5.923
31,US-2013-167129,OFF-AR-10002055,19.272,2,0.4,2.872,1.843
32,US-2013-167129,OFF-AP-10000023,152.28,5,0.4,-99.02,16.245
33,US-2013-167129,TEC-CO-10004904,941.778,8,0.402,-601.742,80.281
34,US-2013-167129,OFF-AR-10000404,10.416,1,0.4,-0.704,0.931
35,MX-2014-100727,OFF-SU-10004480,300.72,14,0,129.08,21.216
36,MX-2014-100727,OFF-SU-10003162,138.18,7,0,53.76,19.543
37,MX-2014-100727,OFF-SU-10002521,90.8,4,0,31.76,21.756
38,MX-2014-154739,FUR-TA-10004531,529.32,3,0,264.66,94.277
39,MX-2014-154739,FUR-BO-10002679,333.6,4,0,106.72,45.851
40,MX-2014-154739,OFF-FA-10004587,42.72,4,0,0.4,6.974
41,MX-2014-121398,OFF-SU-10001132,62.4,3,0.2,8.58,15.739
42,MX-2013-121839,TEC-PH-10001288,346.08,4,0,155.68,33.638
43,MX-2014-142643,TEC-MA-10003625,414,2,0,45.52,21.914
44,MX-2014-142643,OFF-AP-10002681,722.36,2,0,50.56,44.076
45,MX-2014-142643,TEC-AC-10004939,56.34,3,0,3.9,2.519
46,MX-2014-164959,FUR-CH-10002088,168.96,3,0,40.5,55.024
47,US-2012-151372,OFF-ST-10003184,125.44,5,0.2,-0.06,10.187
48,US-2012-151372,TEC-CO-10001756,153.408,2,0.202,36.1275,14.245
